Timestamp,I am a software developer working in the industry professionally for:,I work/worked for projects in the following countries (list provided by https://www.listofcountriesoftheworld.com/):,I write/wrote code professionally in the following languages (programming languages listed are from https://www.tiobe.com/tiobe-index):,How many years of experience do you have doing Testing?,"I am familiar with testing tools such as Junit, Jest, PHPUnit or any other framework that provides a common ground to write tests.",I learned TDD at work,"I learned TDD myself, through books, videos courses or tutorials.",People that I work/worked with already knew TDD,The people I work with practice TDD as part of daily work,I practice TDD as part of my daily workflow.,I feel that TDD makes me go slower than if I wasn't doing it,I am not allowed to push code for review without a test case with it,"The companies I work/worked at, required TDD to join them as part of the job description.",Companies I work/worked at do not practice TDD,Companies I work/worked at argued that TDD requires more time to complete a task and the teams didn't have the required time to use it.,Companies I work/worked at value the TDD practice and acknowledge its pros and cons,I can recall in my mind at least one TDD anti pattern,From the following list check the anti patterns you can recall,I could spot at least one TDD anti pattern in the code base I work/worked on professionally.,I feel that TDD anti patterns slows me down,"When I tried to practice TDD in a code base without tests, I felt that I was slowed down by writing the test first.",I write test because I am worried about the code coverage,"I write tests, but without TDD because the project I am working on demands tests.","If you want to be notified when the results are published, leave your email address on the box that follows."
9/14/2022 11:31:41,Between 20 and 30 years,"Argentina, Australia, Chile, Spain, United Kingdom, United States","C, Python, C++, SQL, GO",Between 10 and 20 years,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Disagree,,Neutral,Neutral,Agree,Disagree,Neutral,
9/14/2022 11:32:36,Between 20 and 30 years,"Andorra, Belgium, Brazil, Canada, Cuba, Italy, Spain, United Kingdom","C, Python, Java, C++, C#, Javascript, PHP, SQL, Groovy, Perl, Scala, Kotlin",Between 10 and 20 years,Strongly Agree,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Strongly Agree,"The giant, The secret catcher, The dodger, oudmounth, Excessive setup, Success against all odds, The slow poke",Strongly Agree,Disagree,Agree,Strongly disagree,Strongly disagree,
9/14/2022 11:34:30,Between 20 and 30 years,"Colombia, Costa Rica, Dominican Republic, Mexico, Portugal, Spain, United States","C, Python, Java, C++, Visual Basic, Javascript, PHP, SQL, Groovy, Ruby, MATLAB, Perl, Scala, Kotlin",Between 10 and 20 years,Agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly disagree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,,Neutral,Neutral,Neutral,Strongly disagree,Disagree,
9/14/2022 11:36:49,Between 10 and 20 years,"Norway, Spain, United States","C, Java, C++, C#",Between 5 and 10 years,Strongly Agree,Disagree,Strongly Agree,Strongly disagree,Neutral,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Neutral,Disagree,Strongly Agree,"The liar, The giant, The mockery, The inspector, Excessive setup, The stranger, Success against all odds, The slow poke",Strongly Agree,Strongly Agree,Agree,Agree,Disagree,
9/14/2022 11:42:08,Between 10 and 20 years,"Spain, United States","C, Java, C++, Visual Basic, Javascript, Groovy, GO, Other",Between 10 and 20 years,Strongly Agree,Disagree,Strongly Agree,Neutral,Neutral,Disagree,Neutral,Strongly Agree,Disagree,Agree,Disagree,Neutral,Disagree,"The mockery, Excessive setup",Disagree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly disagree,
9/14/2022 11:43:09,Between 10 and 20 years,"Germany, Spain, United States","Java, C#, Javascript, PHP",Between 10 and 20 years,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Strongly disagree,Agree,Neutral,Neutral,Disagree,Agree,Strongly disagree,,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,
9/14/2022 11:46:18,Between 5 and 10 years,"Malta, Spain, United Kingdom, United States","Javascript, Typescript",Less than one year,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Strongly disagree,Agree,Strongly Agree,Strongly disagree,Strongly disagree,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,
9/14/2022 11:49:35,Between 5 and 10 years,Germany,PHP,Between 5 and 10 years,Strongly Agree,Strongly disagree,Strongly Agree,Strongly disagree,Disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Neutral,Agree,Agree,Agree,"The giant, The mockery, Excessive setup, Hidden dependency",Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,
9/14/2022 11:50:40,Between 20 and 30 years,"Central African Republic, Kenya, Laos, Norway, Senegal, Sierra Leone, Spain, United Kingdom","Java, C#, Visual Basic, Javascript, PHP, SQL, Swift, Objective C, Kotlin, Dart, Typescript",Between 10 and 20 years,Agree,Disagree,Strongly Agree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Agree,"Excessive setup, The operating system evangelist, The slow poke",Neutral,Neutral,Neutral,Disagree,Neutral,
9/14/2022 11:56:08,Between 5 and 10 years,"Chile, Denmark, Spain","C, Python, Java, C++, Javascript, PHP, SQL, Ruby, GO, Typescript",Between 5 and 10 years,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,"The liar, The mockery, The local hero, The secret catcher, Excessive setup, The operating system evangelist, Success against all odds",Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,
9/14/2022 11:59:12,Between 5 and 10 years,"Germany, Italy, Spain, United Kingdom, United States","C, Python, Java, Javascript, PHP, SQL, Kotlin, Typescript",Between 5 and 10 years,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Neutral,Neutral,Strongly Agree,Disagree,Agree,"The liar, The giant, The mockery, The nitipicker, Excessive setup, The stranger, The free ride, The slow poke",Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,
9/14/2022 11:59:58,Between 3 and 5 years,Spain,"Javascript, Typescript",I have no experience in professional projects,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly Agree,Neutral,Neutral,Strongly Agree,"The liar, The giant, The mockery, Excessive setup, Hidden dependency",Strongly Agree,Agree,Strongly Agree,Neutral,Strongly disagree,
9/14/2022 12:00:30,Between 10 and 20 years,"Spain, United States","C#, Javascript, SQL",Between 10 and 20 years,Strongly Agree,Strongly disagree,Strongly Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly Agree,Disagree,Disagree,Disagree,,Disagree,Neutral,Disagree,Disagree,Disagree,
9/14/2022 12:03:45,Between 1 and 3 years,Spain,"Javascript, Typescript",Less than one year,Agree,Agree,Agree,Strongly disagree,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly Agree,Neutral,Strongly disagree,Strongly disagree,,Strongly disagree,Neutral,Agree,Strongly Agree,Strongly Agree,
9/14/2022 12:04:46,Between 10 and 20 years,Spain,"Python, Java, Javascript, SQL, Ruby",Between 10 and 20 years,Strongly Agree,Neutral,Strongly Agree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Strongly disagree,Neutral,Neutral,Neutral,Strongly Agree,"The liar, The giant, The mockery, Excessive setup, Hidden dependency",Strongly Agree,Agree,Agree,Strongly disagree,Strongly disagree,
9/14/2022 12:06:19,Between 3 and 5 years,Spain,"Java, C#, Javascript, PHP, SQL, Typescript",Between 1 and 3 years,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Strongly disagree,Agree,Strongly Agree,Neutral,Strongly disagree,,Strongly disagree,Neutral,Agree,Disagree,Neutral,
9/14/2022 12:08:16,Between 10 and 20 years,"Germany, Netherlands, Spain","Javascript, PHP, SQL, Typescript",Between 5 and 10 years,Strongly Agree,Neutral,Strongly Agree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Disagree,Agree,Strongly Agree,Neutral,Strongly Agree,"The inspector, Excessive setup, The sequencer, Hidden dependency",Agree,Agree,Neutral,Strongly disagree,Disagree,
9/14/2022 12:12:58,Between 10 and 20 years,"Canada, Israel, Netherlands, Spain, United Kingdom, United States",Java,Between 3 and 5 years,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Hidden dependency,Strongly disagree,Neutral,Agree,Disagree,Disagree,
9/14/2022 12:13:13,Less than one year,Spain,Java,Less than one year,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Strongly disagree,Strongly disagree,Strongly Agree,Strongly disagree,,Strongly disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,
9/14/2022 12:28:03,Between 5 and 10 years,Spain,"Python, Java, Javascript, PHP, SQL, Kotlin, Typescript",Between 5 and 10 years,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly Agree,Strongly Agree,Hidden dependency,Strongly Agree,Strongly Agree,Agree,Strongly disagree,Strongly disagree,
9/14/2022 12:28:26,Between 3 and 5 years,"China, Colombia, Spain, United Kingdom","Java, Javascript, Typescript, Other",Less than one year,Neutral,Strongly Agree,Strongly disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Strongly disagree,,Neutral,Neutral,Neutral,Disagree,Strongly disagree,
9/14/2022 12:32:30,Between 10 and 20 years,Spain,"Java, SQL, Kotlin",Between 5 and 10 years,Strongly Agree,Neutral,Agree,Disagree,Strongly disagree,Disagree,Agree,Strongly Agree,Neutral,Agree,Disagree,Neutral,Strongly disagree,,Strongly disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,
9/14/2022 12:32:40,Between 3 and 5 years,"France, Germany, Japan, Spain, United Kingdom","Java, PHP, Kotlin",Between 1 and 3 years,Strongly Agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Neutral,Neutral,Neutral,Agree,"The mockery, Excessive setup",Strongly Agree,Agree,Agree,Disagree,Disagree,
9/14/2022 12:40:18,Between 3 and 5 years,Spain,"Python, Java, Javascript, SQL, Kotlin, Typescript, Rust",Between 3 and 5 years,Strongly Agree,Strongly disagree,Strongly Agree,Agree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Strongly disagree,Strongly Agree,Neutral,,Neutral,Neutral,Strongly Agree,Strongly disagree,Strongly Agree,
9/14/2022 12:40:29,Between 20 and 30 years,Spain,"Java, PHP, Typescript",I have no experience in professional projects,Agree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly Agree,Agree,Neutral,Disagree,"The liar, The mockery, The local hero",Agree,Neutral,Strongly Agree,Disagree,Strongly disagree,
9/14/2022 12:52:28,Between 20 and 30 years,Spain,"C#, Javascript, SQL, Typescript",Between 10 and 20 years,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Neutral,Agree,Neutral,Disagree,Strongly disagree,Agree,Strongly Agree,"The liar, The mockery, The local hero, The nitipicker, The secret catcher, The greedy catcher, Excessive setup, The sequencer, Hidden dependency, Success against all odds",Strongly Agree,Agree,Neutral,Strongly disagree,Neutral,
9/14/2022 12:54:21,Between 10 and 20 years,"Brazil, Germany, Gibraltar, Saudi Arabia, Spain, United Kingdom","Java, Typescript",Between 10 and 20 years,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Strongly Agree,Agree,Strongly disagree,Strongly Agree,"The liar, The giant, The mockery, The inspector, Generous leftovers, The local hero, Hidden dependency, The enumerator, The stranger, The operating system evangelist, Success against all odds, The free ride, The one, The slow poke",Strongly Agree,Agree,Strongly Agree,Disagree,Neutral,
9/14/2022 13:02:37,Between 1 and 3 years,Spain,Python,Between 1 and 3 years,Agree,Strongly disagree,Neutral,Disagree,Strongly disagree,Neutral,Agree,Disagree,Strongly disagree,Strongly Agree,Strongly Agree,Agree,Strongly disagree,,Strongly disagree,Neutral,Strongly Agree,Agree,Agree,
9/14/2022 13:05:25,Between 5 and 10 years,Spain,"Javascript, PHP, SQL",Between 3 and 5 years,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly disagree,Disagree,Agree,Disagree,,Neutral,Agree,Disagree,Disagree,Disagree,
9/14/2022 13:13:11,Between 5 and 10 years,Spain,"Javascript, PHP, Typescript",Between 5 and 10 years,Agree,Strongly disagree,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Strongly disagree,Strongly Agree,Strongly disagree,Neutral,Strongly disagree,,Strongly disagree,Neutral,Neutral,Strongly disagree,Strongly Agree,
9/14/2022 13:13:30,Between 5 and 10 years,Spain,"Python, Java, C#, Javascript, PHP, SQL, Kotlin, Typescript",Between 5 and 10 years,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Strongly Agree,Disagree,,Disagree,Neutral,Neutral,Agree,Strongly disagree,
9/14/2022 13:26:54,Between 20 and 30 years,"Denmark, Germany, Spain, United States","Java, C#, Swift, Objective C, Typescript",Between 5 and 10 years,Strongly Agree,Strongly disagree,Disagree,Neutral,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Neutral,Neutral,Disagree,"The mockery, Excessive setup",Neutral,Agree,Strongly disagree,Strongly disagree,Strongly disagree,
9/14/2022 14:30:55,Between 3 and 5 years,"Germany, Spain","Python, Java, C++, Javascript, SQL, GO",Between 1 and 3 years,Agree,Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Neutral,Neutral,Disagree,,Agree,Neutral,Disagree,Agree,Disagree,
9/14/2022 14:33:07,Between 5 and 10 years,Spain,"Python, Java, C#, Javascript, PHP, SQL, Groovy, Ruby, Kotlin, Typescript",Between 5 and 10 years,Strongly disagree,Neutral,Agree,Disagree,Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Neutral,Strongly Agree,"The giant, The mockery, The local hero, The dodger, Excessive setup, The sequencer, The enumerator, Success against all odds",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,
9/14/2022 14:37:37,Between 3 and 5 years,"Australia, Germany, Mexico, Spain, United Kingdom, United States","C, Python, C++",Between 1 and 3 years,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,,Strongly disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,
9/14/2022 14:39:42,Between 3 and 5 years,Paraguay,"Python, Java, C#, Javascript, PHP, SQL, Typescript, Other",I have no experience in professional projects,Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly Agree,Disagree,Agree,Strongly disagree,Strongly Agree,Neutral,Strongly disagree,Strongly disagree,Excessive setup,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,
9/14/2022 14:47:38,Between 5 and 10 years,"Spain, United Kingdom, United States","Ruby, Closure",Between 5 and 10 years,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,Strongly Agree,Strongly disagree,,Disagree,Neutral,Disagree,Disagree,Strongly disagree,
9/14/2022 14:51:24,Between 3 and 5 years,"Spain, Sweden","Java, Javascript, PHP, Typescript",Between 1 and 3 years,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Disagree,,Disagree,Neutral,Agree,Agree,Disagree,
9/14/2022 14:55:12,Between 1 and 3 years,Spain,"Javascript, PHP, SQL",I have no experience in professional projects,Disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly Agree,Neutral,Strongly disagree,Strongly disagree,,Strongly disagree,Neutral,Neutral,Neutral,Strongly disagree,
9/14/2022 15:01:59,Between 20 and 30 years,Spain,"Python, Java, C++, C#, Visual Basic, SQL, Groovy, Kotlin, Lua, Other",Between 3 and 5 years,Strongly Agree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly Agree,"The liar, The mockery, The inspector, Hidden dependency, The enumerator, The stranger, The free ride, The slow poke",Strongly Agree,Disagree,Disagree,Disagree,Disagree,
9/14/2022 15:04:42,Between 5 and 10 years,"France, Spain","Python, Javascript, PHP, SQL, Typescript",Between 1 and 3 years,Strongly Agree,Strongly Agree,Agree,Strongly disagree,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,,Agree,Agree,Strongly Agree,Disagree,Neutral,
9/14/2022 15:07:20,Between 20 and 30 years,"Andorra, Belarus, France, India, Israel, Italy, Portugal, Spain, United Kingdom, United States","C, Python, Java, C++, C#, Visual Basic, Javascript, Assembly language, PHP, SQL, Groovy, Ruby, Perl, Typescript",Between 10 and 20 years,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Strongly disagree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,"The liar, The giant, The mockery, Excessive setup, Hidden dependency",Strongly Agree,Agree,Agree,Strongly disagree,Neutral,
9/14/2022 15:28:06,Between 5 and 10 years,"Mexico, Spain, United Arab Emirates, United Kingdom, United States","C, Javascript, PHP, Swift, Scala, Kotlin, Typescript",Between 1 and 3 years,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Agree,Strongly Agree,Neutral,"The liar, The mockery, The local hero, The slow poke",Neutral,Neutral,Agree,Disagree,Disagree,
9/14/2022 15:34:58,Between 10 and 20 years,"Cuba, France, Germany, Spain, Turkey","C, Python, Java, C#, Javascript, PHP, Ruby, Perl, Delphi",Between 5 and 10 years,Strongly Agree,Agree,Strongly Agree,Strongly disagree,Strongly Agree,Agree,Disagree,Agree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Hidden dependency,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Disagree,
9/14/2022 15:41:15,Between 1 and 3 years,Spain,PHP,Between 1 and 3 years,Agree,Strongly disagree,Neutral,Agree,Strongly disagree,Strongly disagree,Neutral,Agree,Agree,Strongly Agree,Disagree,Neutral,Strongly disagree,,Neutral,Neutral,Neutral,Disagree,Agree,
9/14/2022 15:51:15,Between 5 and 10 years,Spain,"Java, C#, Javascript, PHP, SQL",Less than one year,Agree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,,Strongly disagree,Neutral,Agree,Strongly disagree,Strongly disagree,
9/14/2022 16:01:44,Between 10 and 20 years,"Argentina, Spain, United States","Java, Javascript, Ruby, Kotlin, Typescript, Haskell",Between 10 and 20 years,Strongly Agree,Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Disagree,Disagree,Agree,Neutral,Agree,Disagree,Strongly disagree,,Strongly Agree,Neutral,Strongly disagree,Strongly disagree,Disagree,
9/14/2022 16:07:47,Between 10 and 20 years,Spain,"Java, Javascript",Between 5 and 10 years,Strongly Agree,Disagree,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Strongly disagree,Agree,Agree,Disagree,Disagree,,Disagree,Neutral,Agree,Neutral,Disagree,
9/14/2022 16:21:36,Between 3 and 5 years,"Spain, United States","Python, Java, Javascript, PHP, SQL, Typescript",Between 1 and 3 years,Agree,Agree,Disagree,Agree,Strongly disagree,Disagree,Agree,Strongly Agree,Strongly disagree,Agree,Strongly disagree,Neutral,Disagree,,Strongly disagree,Neutral,Agree,Disagree,Strongly Agree,
9/14/2022 16:23:51,Between 10 and 20 years,"Germany, Spain","C, Python, Java, C++, C#, SQL, GO",Between 5 and 10 years,Strongly Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Disagree,Agree,Neutral,Agree,Strongly disagree,Strongly Agree,Strongly Agree,"The mockery, Excessive setup, Hidden dependency, Success against all odds",Agree,Neutral,Disagree,Disagree,Neutral,
9/14/2022 16:58:04,Between 10 and 20 years,Spain,Java,Between 5 and 10 years,Strongly Agree,Agree,Agree,Strongly disagree,Neutral,Strongly Agree,Strongly disagree,Strongly Agree,Disagree,Agree,Agree,Neutral,Strongly Agree,"The liar, Excessive setup, Hidden dependency",Agree,Neutral,Agree,Strongly disagree,Neutral,
9/14/2022 17:04:11,Between 10 and 20 years,Spain,"Python, Java, Javascript, Ruby, Typescript",Between 5 and 10 years,Strongly Agree,Neutral,Strongly disagree,Strongly Agree,Agree,Strongly Agree,Strongly disagree,Strongly Agree,Agree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly Agree,"The liar, The giant, The mockery, The inspector, Generous leftovers, The local hero, The nitipicker, The secret catcher, The dodger, oudmounth, The greedy catcher, Excessive setup, The sequencer, Hidden dependency, The enumerator, The stranger, The operating system evangelist, Success against all odds, The free ride, The one, The peeping tom, The slow poke",Strongly Agree,Agree,Neutral,Strongly disagree,Strongly disagree,
9/14/2022 17:21:42,Between 5 and 10 years,Spain,"Javascript, Ruby",Between 5 and 10 years,Strongly Agree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Neutral,Disagree,Agree,Strongly disagree,,Strongly disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,
9/14/2022 17:24:37,Between 3 and 5 years,"Germany, Spain","Java, SQL, Groovy, Ruby, Kotlin",Between 3 and 5 years,Agree,Disagree,Agree,Neutral,Strongly disagree,Disagree,Disagree,Strongly Agree,Strongly disagree,Agree,Disagree,Agree,Disagree,"The mockery, The inspector",Disagree,Disagree,Agree,Neutral,Disagree,
9/14/2022 18:01:57,Between 5 and 10 years,Spain,"Python, R",Between 5 and 10 years,Strongly Agree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Agree,Disagree,Strongly Agree,"The mockery, The local hero, Excessive setup, The peeping tom",Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,
9/14/2022 18:03:43,Between 5 and 10 years,"Argentina, Spain","Java, C#, Groovy, Kotlin",Between 5 and 10 years,Strongly Agree,Neutral,Strongly Agree,Neutral,Disagree,Disagree,Strongly disagree,Strongly Agree,Disagree,Agree,Neutral,Neutral,Strongly Agree,The mockery,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,
