Timestamp,I am a software developer working in the industry professionally for:,I work/worked for projects in the following countries (list provided by https://www.listofcountriesoftheworld.com/):,I write/wrote code professionally in the following languages (programming languages listed are from https://www.tiobe.com/tiobe-index):,"I am familiar with testing tools such as Junit, Jest, PHPUnit or any other framework that provides a common ground to write tests.",I learned TDD at work,"I learned TDD myself, through books, videos courses or tutorials.",People that I work/worked with already knew TDD,The people I work with practice TDD as part of daily work,I practice TDD as part of my daily workflow.,I feel that TDD makes me go slower than if I wasn't doing it,I am not allowed to push code for review without a test case with it,"The companies I work/worked at, required TDD to join them as part of the job description.",Companies I work/worked at do not practice TDD,Companies I work/worked at argued that TDD requires more time to complete a task and the teams didn't have the required time to use it.,Companies I work/worked at value the TDD practice and acknowledge its pros and cons,I can recall in my mind at least one TDD anti pattern,From the following list check the anti patterns you can recall,I could spot at least one TDD anti pattern in the code base I work/worked on professionally.,I feel that TDD anti patterns slows me down,"When I tried to practice TDD in a code base without tests, I felt that I was slowed down by writing the test first.","If you want to be notified when the results are published, leave your email address on the box that follows.",I write test because I am worried about the code coverage,"I write tests, but without TDD because the project I am working on demands tests."
9/21/2021 18:38:00,Between 3 and 5 years,Brazil,"Python, Javascript, SQL, Scala",Strongly Agree,Strongly disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly disagree,,Strongly disagree,Neutral,Agree,,Disagree,Strongly disagree
9/21/2021 19:34:25,Between 10 and 20 years,"Brazil, Chile, United States","Java, Javascript, Groovy, Ruby, Dart, Other",Strongly Agree,Agree,Agree,Neutral,Agree,Disagree,Strongly disagree,Agree,Agree,Neutral,Strongly disagree,Agree,Agree,"The mockery, The inspector, Generous leftovers, The nitipicker, Excessive setup",Agree,Agree,Agree,,Disagree,Strongly disagree
9/21/2021 21:09:36,Between 10 and 20 years,"Germany, Poland","Python, Java, Javascript, PHP, Kotlin, Typescript",Strongly Agree,Disagree,Strongly disagree,Disagree,Disagree,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,Agree,Agree,Neutral,Agree,Excessive setup,Strongly Agree,Neutral,Disagree,,Disagree,Strongly disagree
9/21/2021 22:17:32,Between 10 and 20 years,"Cuba, Germany, Ireland, Saudi Arabia, Spain, Switzerland, Turkey, United Kingdom, United States","C, Python, Java, C++, C#, Visual Basic, Javascript, PHP, SQL, Ruby, Perl, Delphi, Other",Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Neutral,Disagree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly Agree,"The mockery, Excessive setup, The sequencer, Hidden dependency, The peeping tom",Strongly Agree,Agree,Strongly disagree,,Strongly disagree,Neutral
9/21/2021 23:37:47,Between 1 and 3 years,Mexico,"C, Python",Agree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly disagree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Generous leftovers,Neutral,Neutral,Agree,,Agree,Neutral
9/22/2021 0:11:07,30 years or more,"Canada, France, United Kingdom, United States","Java, C#, Javascript, SQL, Ruby",Strongly Agree,Strongly Agree,Agree,Strongly disagree,Disagree,Agree,Strongly disagree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,"The mockery, Excessive setup, Hidden dependency, The slow poke",Strongly Agree,Strongly Agree,Disagree,,Agree,Strongly disagree
9/22/2021 0:22:13,Between 20 and 30 years,"Argentina, Brazil, United States","C, Java, Visual Basic, Javascript, PHP, SQL, Delphi",Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly disagree,Agree,Neutral,Neutral,Disagree,Agree,Strongly disagree,The mockery,Disagree,Agree,Strongly Agree,,Disagree,Agree
9/22/2021 20:54:36,Between 10 and 20 years,"Bulgaria, Canada, Germany","Javascript, PHP, SQL, Typescript, Other",Strongly Agree,Disagree,Strongly Agree,Neutral,Agree,Strongly Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Strongly disagree,,Neutral,Neutral,Neutral,,Strongly disagree,Strongly disagree
9/24/2021 15:08:25,Between 5 and 10 years,"Germany, Spain","PHP, SQL",Strongly Agree,Strongly disagree,Strongly Agree,Strongly disagree,Disagree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Neutral,Neutral,"The mockery, Hidden dependency",Neutral,Agree,Strongly disagree,,Disagree,Disagree
9/24/2021 15:16:32,Between 3 and 5 years,"Germany, Spain","Java, Javascript, PHP, SQL, Kotlin",Strongly Agree,Disagree,Strongly Agree,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,"The mockery, Excessive setup, Hidden dependency",Agree,Strongly Agree,Strongly Agree,,Disagree,Neutral
9/25/2021 10:29:00,Between 10 and 20 years,Germany,Java,Strongly Agree,Neutral,Agree,Neutral,Disagree,Strongly Agree,Strongly disagree,Neutral,Disagree,Agree,Agree,Neutral,Strongly Agree,,Strongly Agree,Disagree,Agree,,Neutral,Neutral
9/27/2021 11:59:30,Between 20 and 30 years,"France, Germany, Hungary, Moldova, Netherlands, Poland, Romania, Sweden, United Kingdom, United States","Javascript, PHP, SQL, Delphi, Typescript",Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Strongly Agree,"The mockery, Excessive setup, Hidden dependency, Success against all odds",Agree,Agree,Strongly disagree,,Strongly disagree,Strongly disagree
